2021-12-04          ROCE     ROE   SALES  PROFIT   YIELD     P/E    MCAP     CMP     QTY
Greenpanel Inds.   11.82   10.25   87.75  264.46    5.59   25.98    4773     389       0
Oil India          13.98   16.27   32.74   18.24   18.03    4.96   23417     215       0
Ajanta Pharma      31.95   23.43   23.59   15.11    5.15   25.96   18319    2117       0
Hindalco Inds.      7.42    5.33   52.59  916.95   11.77    9.85   95425     424       0
Vardhman Textile    7.96    6.54   46.75  699.55   13.34    9.30   11257    1951       0
TCS                48.90   39.06   16.77   15.34    3.72   36.81 1346621    3640       0
Tata Elxsi         40.03   29.92   38.39   58.89    1.78   80.00   36725    5897       0
Thyrocare Tech.    35.70   27.10   14.98   80.56    4.50   28.68    5835    1103       0
Redington India    21.17   16.45   11.07   72.74   17.39   11.48   11927     152       0
Muthoot Finance    15.57   27.78    8.19    8.19    9.27   14.86   59497    1482       0
ITC                28.62   21.02   13.91   10.26    7.20   19.14  273125     221       0
Adani Green        10.96   25.86  111.60  460.72    1.01  541.25  217343    1389       0
Astral             29.52   23.60   54.48   62.86    1.55   87.34   44795    2229       0
Century Plyboard   20.01   16.24   55.80   97.19    2.93   49.20   13918     626       0
G R Infraproject   22.92   27.27   48.21    9.63    8.02   17.77   16979    1756       0
Praj Industries    15.21   10.63  104.58  192.63    3.29   43.83    5948     323       0
KEI Industries     21.38   16.64   30.52   35.05    4.43   32.74   10629    1179       0
RHI Magnesita      23.35   18.11   24.57   32.72    4.57   30.54    5460     339       0
Power Fin.Corpn.    9.45   21.33    6.11   15.36    9.68    2.45   31997     121       0
S C I               6.06    8.84   44.84   71.27    7.74   11.57    7161     153       0
Cams Services      57.70   43.98   33.22   18.15    2.52   52.01   14388    2942       0
Gland Pharma       28.00   20.88   29.94   38.04    2.62   53.66   59958    3649       0
SKF India          22.64   17.11   37.42   80.93    3.05   44.76   19236    3890       0
Blue Dart Expres   24.68   21.40   29.66   71.04    3.23   47.93   15621    6583       0
Sundaram Clayton   11.84   12.41   24.48   26.85   14.29   16.67    8695    4297       0
Glaxosmi. Pharma   43.78   28.34   14.85   77.43    2.93   56.86   29325    1731       0
Happiest Minds     34.49   39.87   36.97   30.52    1.20  115.50   18804    1280       0
L & T Infotech     37.00   30.47   25.63   21.05    2.42   56.82  119987    6848       0
Kajaria Ceramics   22.16   17.44   36.64   30.32    3.16   44.22   17917    1125       0
Crompton Gr. Con   35.61   35.71   15.56   24.37    3.01   40.86   26864     427       0
Info Edg.(India)    3.67    3.06   39.54  999.00    0.25    9.20   74890    5815       0
TCI Express        33.89   25.84   28.41   44.91    2.02   65.42    8765    2277       0
Infosys            35.25   27.22   20.48   11.89    4.03   34.97  729892    1735       0
JM Financial       11.85    9.34   20.16   25.44   15.45    9.06    6656      69       0
Indbull.RealEst.    5.94    0.14 1633.60  107.28    4.87   42.04    7790     170       0
Grasim Inds        11.15    7.14   25.71   36.90   10.36   18.21  112155    1703       0
IRB Infra.Devl.     9.44    1.70   30.44  315.21    9.05   28.53    8021     228       0
Fine Organic       21.51   17.82   61.78   59.79    1.79   77.47   11330    3695       0
Sanofi India       31.57   22.28    9.89   22.14    4.64   30.09   18173    7891       0
CRISIL             37.45   28.14   17.73   25.08    2.48   53.84   21925    3008       0
Hindustan Zinc     26.40   21.26    8.16    3.97    8.82   16.75  146893     347       0
Tube Investments   14.48   14.53  173.43   69.77    2.90   55.83   31413    1628       0
I O C L            14.85   20.88   63.02    2.95   17.90    4.48  115041     122       0
Sterlite Tech.     12.24   14.10   30.01   80.84    5.37   26.21   11336     285       0
TTK Prestige       20.85   16.21   34.86   57.72    2.87   47.77   14061   10144       0
Alkem Lab          22.09   22.98   18.50   15.29    4.91   24.14   41116    3438       0
TVS Motor Co.      11.10   16.94   23.39   33.85    5.16   37.85   31940     672       0
Tech Mahindra      23.01   18.97   16.11   25.75    4.61   30.41  154592    1593       0
Wipro              22.10   19.59   30.29   18.86    4.48   28.99  351203     640       0
Indraprastha Gas   23.96   19.81   40.27   10.04    5.56   24.36   35406     505       0
Intellect Design   21.57   21.63   21.61   33.90    4.15   27.87    8748     651       0
Cummins India      17.96   14.38   47.88   27.64    4.17   33.04   25543     921       0
Balkrishna Inds    23.92   21.14   31.33   14.69    4.50   29.83   42553    2201       0
Ruchi Soya Inds.   12.07   17.59   50.94   29.61    3.93   30.88   27161     918       0
IIFL Finance       10.31   15.00   13.78   37.13   10.27   11.54   12384     326       0
Oberoi Realty       9.47    8.18  138.64   93.55    3.82   33.77   31089     855       0
V-Guard Industri   26.16   18.10   46.43   18.10    3.32   44.47   10186     236       0
Birlasoft Ltd      21.52   15.75   17.99   49.35    4.54   32.56   13420     482       0
Bajaj Holdings     11.56   11.24   26.69   29.75    7.07   15.06   60360    5423       0
Indo Count Inds.   23.30   22.08    5.93    3.74    9.59   13.54    4781     242       0
Saregama India     33.94   24.88   34.21   19.90    2.12   65.79    8526    4422       0
Persistent Sys     21.20   16.08   34.09   58.59    2.42   57.97   33139    4336       0
Route Mobile       33.20   28.94   24.73   28.29    1.69   75.65   11298    1797       0
Power Grid Corpn   11.43   18.71    7.74    9.02    9.29   10.37  143764     206       0
Vinati Organics    23.80   19.08   70.48   31.14    1.93   65.73   19540    1901       0
Firstsour.Solu.    15.59   13.00   20.28   28.23    5.30   23.98   12063     172       0
Hikal              16.14   15.22   26.12   63.49    4.47   33.53    6229     505       0
Ratnamani Metals   18.63   14.93   23.37   26.09    4.21   32.73    9542    2042       0
NIIT                8.27    6.71   43.55  101.34    5.06   27.99    5366     401       0
ERIS Lifescience   27.40   24.56    8.99    9.91    4.54   24.99    9582     705       0
I R C T C          16.52   11.64  357.25  999.00    0.91  154.29   65592     819       0
IIFL Wealth Mgt     9.30   12.75   25.35   63.54    5.84   28.82   13230    1494       0
L&T Technology     29.35   20.73   22.37   38.97    2.05   69.06   57100    5415       0
UPL                13.77   15.02   18.21   11.93    8.91   16.87   54457     712       0
Zensar Tech.       22.25   14.90    7.27  999.00    6.00   25.39    9930     439       0
Ambuja Cements     18.29   10.47    7.74    7.08    8.72   22.52   74779     376       0
SRF                18.01   20.32   35.14   21.34    3.27   41.65   61780    2084       0
Coforge            25.72   19.31   36.03   21.54    2.26   61.81   32469    5350       0
Reliance Industr    8.19    7.97   50.68   42.99    4.67   29.52 1527635    2408       0
Transport Corp.    14.61   14.31   18.40  106.04    5.46   22.25    5325     689       0
Cadila Health.     14.79   19.65    3.44  549.52   10.36    9.58   47138     460       0
Trident            10.21   10.34   44.09  121.96    3.98   34.89   22753      44       0
General Insuranc   10.88    7.06    9.13  490.26   63.48    9.65   24789     141       0
Mphasis            25.20   19.69   17.81   14.11    3.15   43.71   57854    3086       0
Torrent Power      12.85   13.26   16.58   82.91    6.59   21.04   27169     565       0
Welspun India      14.74   16.26   26.04   10.77    7.11   19.65   14297     142       0
Divi's Lab.        32.09   23.93   13.62   16.72    2.32   59.12  126284    4757       0
BSE                 8.58    5.89   46.27   39.16    4.61   46.07    8453    1877       0
Shri.City Union.   11.01   13.46   13.61    9.98   10.56   12.53   13934    2104       0
HCL Technologies   25.70   19.78   11.08    3.69    5.23   27.56  317878    1171       0
HFCL               19.66   13.50    6.42   54.10    6.89   27.25    9179      71       0
The Ramco Cement   14.59   14.60   18.74  111.83    4.85   20.23   22463     950       0
Marico             43.99   36.72   21.62    7.09    2.36   57.04   68699     531       0
Orient Electric    35.46   29.43   37.03    7.25    2.84   51.51    7952     374       0
Glenmark Pharma.   14.90   14.33    6.60   10.09   11.02   13.57   14081     499       0
Sundram Fasten.    16.98   16.38   39.68   19.59    3.95   33.99   17866     850       0
Schaeffler India   13.21    9.54   32.74   50.53    3.33   42.48   24644    7883       0
HDFC AMC           39.93   30.11   18.87    1.87    3.35   39.99   54989    2579       0
Indiamart Inter.   38.98   29.58   11.76   17.77    1.93   71.56   21896    7163       0
Dixon Technolog.   32.82   24.99   71.09   19.63    0.91  164.65   30731    5178       0
Aditya Birla Cap    8.07    8.56   21.72   42.58    6.98   20.96   28148     116       0
Hatsun Agro        19.16   25.76   23.24   24.79    1.59  107.15   28383    1316       0
Zee Entertainmen   14.10    8.11   14.87  187.19    5.45   28.96   33574     349       0
Bharat Forge        3.23    4.15   73.36  999.00    2.98   47.61   32765     703       0
Cyient             15.29   13.19   10.79   44.58    6.03   25.48   11078    1004       0
Chola Financial    10.87   16.53    2.40   26.82    9.67   16.73   12816     682       0
Mahindra CIE        3.66    2.02   23.40  173.73    7.34   21.70    9205     242       0
Abbott India       35.23   27.45   15.85    6.42    2.56   56.25   40370   18997       0
Dr Lal Pathlabs    35.36   25.13   15.40   11.37    1.89   76.52   30920    3710       0
Prism Johnson      11.36   14.72   11.75   30.03    5.72   23.03    6327     125       0
Emami              28.56   24.16    7.35   56.45    2.90   43.77   24501     551       0
Hind. Unilever     39.21   29.23   11.67    7.30    2.07   65.15  550661    2343       0
Titan Company      12.96   13.57   64.57  265.14    1.19  120.33  210338    2369       0
Blue Star          12.74    8.96   37.43  104.70    2.78   64.24    9554     992       0
Hindustan Copper    6.35   10.73   57.62  634.02    2.24   61.60   11367     117       0
ACC                15.97   12.79    5.98   23.73    7.20   19.47   42481    2262       0
DCM Shriram        16.27   15.29    4.78   33.18    7.85   19.85   15910    1020       0
Jubilant Food.     16.29   17.98   36.73   58.19    1.41  119.61   50155    3800       0
Home First Finan    9.01    8.66   34.32  213.12    3.88   57.89    7362     840       0
Aarti Industries   13.14   16.14   32.32   25.58    2.49   54.12   34764     959       0
H D F C             9.23   13.25   13.23   14.31    5.53   24.09  501681    2771       0
Asahi India Glas   11.27    9.71   24.69  117.59    4.46   41.05   11288     464       0
Shriram Trans.     10.26   12.54    8.05   12.36    9.56   16.08   39148    1447       0
Cera Sanitary.     15.39   11.97   24.43   74.82    2.85   48.92    6405    4925       0
GMM Pfaudler       15.87   19.93  247.51   28.82    1.52  104.19    6720    4597       0
Dr Reddy's Labs    15.39   11.66   17.84   29.02    3.86   39.00   76485    4596       0
Cipla              17.58   14.11    9.56    6.90    5.20   28.44   73582     912       0
Timken India       13.20    9.81   42.37   58.57    2.05   67.13   15173    2017       0
Pfizer             23.61   17.19    6.86    8.81    3.65   38.48   22497    4917       0
Varun Beverages    10.73   11.19   33.04   56.92    2.92   57.81   38026     878       0
Nestle India      139.29  105.76    9.62    5.16    1.75   83.11  186288   19321       0
Suprajit Engg.     16.55   15.48   11.40    9.40    4.67   29.92    5755     415       0
Carborundum Uni.   19.86   14.62   22.06   13.00    3.04   47.56   17253     909       0
Lak. Mach. Works    5.08    3.18  102.62  253.90    2.08   81.77    9428    8826       0
Phoenix Mills       4.22    1.22   72.77  265.64    2.36  103.96   17069     992       0
Sun Pharma.Inds.   13.92    6.33   12.54   32.60    4.91   28.92  180382     751       0
Elgi Equipments    13.08   12.42   35.77   55.25    2.29   66.29    9386     296       0
Rossari Biotech    28.76   22.90   94.93   12.02    1.68   82.73    7145    1297       0
ICICI Lombard      26.88   21.71   32.77    7.44    2.41   54.70   71122    1449       0
Cholaman.Inv.&Fn    9.70   17.09    1.72   40.46    6.27   29.24   46607     567       0
Tata Power Co.      7.36    3.41   18.34   50.75    5.57   46.16   72086     225       0
Bosch              13.79   10.20   17.70   29.72    3.76   34.72   48665   16500       0
Bajaj Finserv      11.86   13.33   19.66   13.77    4.50   65.89  278310   17488       0
Grindwell Norton   23.34   18.74   16.77   11.99    2.10   65.44   18500    1670       0
Guj Pipavav Port   14.51    9.79    6.59    2.70    7.81   22.61    4860     100       0
Adani Transmissi   11.96   21.65   17.87   31.83    1.67  153.14  205477    1868       0
MTAR Technologie   19.21   13.13   24.57   37.22    1.23  126.35    6903    2244       0
Sheela Foam        23.46   21.39   29.25   10.77    2.22   63.01   16296    3340       0
CCL Products       16.54   18.08    4.50    3.96    4.70   27.38    5188     390       0
Infibeam Avenues    2.94    2.51  109.14   98.93    1.83   64.96    5341      40       0
AAVAS Financiers    9.98   12.87   20.15   39.18    3.11   67.38   21913    2776       0
Adani Total Gas    31.23   28.10   55.12   11.03    0.47  296.58  175172    1592       0
Avenue Super.      12.71    9.45   46.79  110.42    0.61  226.25  310870    4799       0
M & M               8.54    4.45   11.67  276.02    6.50   24.21  104049     836       0
Aptus Value Hou.   12.20   12.24   25.45   29.86    2.72   71.16   15501     312       0
National Standar    5.83    3.87 2882.61  876.42    0.13 1072.44   21298   10649       0
Torrent Pharma.    17.57   23.26    5.95    1.94    3.67   39.82   50458    2981       0
HDFC Bank           6.31   16.47    5.60   18.09    4.63   24.51  838652    1513       0
Aster DM Health.    9.91   11.58   11.66  225.35    5.02   27.77    9695     194       0
Symphony           16.44   16.09   15.18   87.50    2.45   55.33    6916     988       0
Amber Enterp.       9.51    6.22   44.01  347.59    1.87   89.52   10944    3248       0
JBM Auto            9.14    6.82   45.50   23.47    3.54   53.33    4915    1039       0
Gujarat Alkalies    4.69    3.33   29.38   12.90    6.23   23.25    4780     650       0
Dabur India        27.27   23.73   11.98    4.71    2.24   56.73  102774     581       0
KPIT Technologi.   14.02   12.56   21.71  133.42    2.19   62.55   13648     497       0
NHPC Ltd            9.21   10.05    1.42   12.41   10.24    9.24   32696      32       0
Linde India        10.39    6.83   36.98   79.61    1.86   81.87   21206    2486       0
Solar Industries   19.84   18.65   34.13   13.19    2.05   73.87   25142    2778       0
Tata Chemicals      4.52    1.73   15.84  223.84    4.99   33.66   23183     910       0
Bajaj Finance       9.39   12.78   18.70   53.49    2.81   85.75  426695    7069       0
Bank of Maha        4.25    4.92   11.84   93.60    4.88   16.11   13090      19       0
HLE Glascoat       40.94   41.40    0.95   15.52    1.11  133.86    8311    6087       0
Thermax            10.23    7.82   28.75   99.91    2.34   61.52   21006    1762       0
United Breweries    5.23    3.31   58.57  999.00    1.25  119.48   39990    1512       0
Godrej Agrovet     18.01   16.13   24.95    2.07    4.40   30.23   10080     524       0
Pidilite Inds.     29.42   22.51   39.67    5.11    1.63   83.41  112224    2208       0
Poly Medicure      21.76   19.30   11.89    9.20    2.04   66.33    9947    1037       0
Shree Cement       19.14   15.92    2.82    6.80    3.80   35.66   93499   25914       0
Container Corpn.    7.75    4.99   21.73   37.43    3.10   50.52   39043     640       0
ICICI Bank          5.73   13.11    5.63   24.77    4.83   23.41  497212     716       0
CSB Bank            5.93   10.55    5.51   72.09    5.39   16.89    4654     268       0
Eicher Motors      16.60   12.59    5.43    8.70    3.47   40.22   67137    2455       0
Max Healthcare      3.55    1.45   59.60  424.34    0.97  183.65   36723     378       0
P I Industries     22.08   18.54   16.97    5.51    2.34   55.39   43870    2891       0
St Bk of India      4.53    8.21    4.26  168.47    4.78   12.48  422267     473       0
Apollo Hospitals    8.44    3.79   34.64  311.17    1.81  100.30   78109    5432       0
IndusInd Bank       5.99    7.55    6.59   72.94    6.46   18.79   73637     951       0
ICICI Pru Life      9.15    7.63   38.76   47.33    0.93  138.27   86714     603       0
Godrej Consumer    19.74   20.13    8.53    4.75    2.50   51.61   93371     913       0
Olectra Greentec    2.50    1.13   42.18  921.57    0.51  353.59    6781     826       0
SBI Cards          10.01   16.92    6.67   67.31    2.13   90.24   93356     990       0
United Spirits     13.26    9.49   14.19  125.50    1.88   77.16   65045     895       0
Syngene Intl.      13.93   15.16   17.89    9.37    2.06   59.38   23833     594       0
Anupam Rasayan      9.98    6.47   13.29   37.65    2.45   71.78    7999     800       0
Bajaj Electrical   12.26   13.02    6.92   18.10    2.64   61.18   11883    1035       0
Minda Industries   12.01    9.97   29.51    9.71    2.38   68.93   25141     880       0
Axis Bank           4.84    7.58    2.87   84.45    4.66   20.64  206438     673       0
Zydus Wellness      6.46    6.19   12.18  390.53    2.82   37.92   12185    1915       0
Voltas             15.07   11.32    4.75   32.24    1.99   69.79   41248    1246       0
UCO Bank            3.80    0.35    2.91  581.91    4.30   36.77   15542      13       0
Biocon             10.33   10.20    5.18    9.49    2.36   64.50   44044     366       0
A B B               7.22    4.91   10.31   48.53    1.12  131.89   44043    2078       0
Tata Consumer       8.85    6.13    9.05    2.23    1.91   92.05   71355     774       0
----------------------------------------------------------------------------------------
2021-12-04          ROCE     ROE   SALES  PROFIT   YIELD     P/E    MCAP     CMP     QTY
Average            20.64   18.12   53.61  120.60    6.60   49.52   63150    2062
